Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
ConocoPhillips,ConocoPhillips,"100,000.00",2017,,SIPA,,https://web.archive.org/web/20190130071315/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-2016-2017.pdf,
ConocoPhillips,ConocoPhillips,"100,000.00",2018,,SIPA,CGEP,https://web.archive.org/web/20180620165843/http://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
ConocoPhillips,ConocoPhillips,"100,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
ConocoPhillips,ConocoPhillips,"100,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
ConocoPhillips,ConocoPhillips,"100,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
ConocoPhillips,ConocoPhillips,"100,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
ConocoPhillips,ConocoPhillips,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
ConocoPhillips,ConocoPhillips,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Coterra Energy,Coterra Energy Inc,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Coterra Energy,Coterra Energy Inc,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Devon Energy,Devon Energy,"25,000.00",2019,,SIPA,,https://web.archive.org/web/20191224033634/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2017-2018.pdf,
Devon Energy,Devon Energy,"25,000.00",2021,,SIPA,,https://web.archive.org/web/20220625212407/https://www.sipa.columbia.edu/give/thank-you-our-donors-2020-21,
Devon Energy,Devon Energy,"200,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,selected lower bound of $200k/year or $500k aggregate
Devon Energy,Devon Energy,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Devon Energy,Devon Energy,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Enel,Enel,"1,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $1,000 or more."
Enel,Enel,"1,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $1,000 or more."
Eni,Eni,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
EQT,EQT Corporation,"100,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/," annual commitment of $100,000 or more."
EQT,EQT Foundation,"18,000.00",2012,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/43747289/2013_12_PF%2F04-3747289_990PF_201212,
EQT,EQT Foundation,"18,000.00",2015,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/43747289/201612289349100801/full,
EQT,EQT Foundation,"1,000.00",2016,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/43747289/201723139349101057/full,
Equinor,Equinor,"100,000.00",2018,,SIPA,CGEP,https://web.archive.org/web/20180620165843/http://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
Equinor,Equinor,"100,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
Equinor,Equinor,"100,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2022. Chose 500,000 total for the 4 years as lower bound (100,000/yr)"
